"name","ID","Mean_PSM","KO+S_vs_KO+L_p.val","KO+S_vs_KO+L_p.adj","KO+S_vs_KO+L_significant","KO+S_vs_KO+L_ratio"
"1433b","Q9CQV8-1",-3.1371173564008488,0.16282002433939408,0.85,FALSE,1.29
"1433e","P62259-1",-0.6550295719882309,0.7458412599155232,0.919,FALSE,0.626
"1433g","P61982-1",0.3160882329449098,0.24274005982447908,0.872,FALSE,0.901
"1433s","O70456-1",-2.550810875286595,0.2139066110246429,0.866,FALSE,1.31
"1433t","P68254-1",0.1279353817135238,0.5631382286723428,0.909,FALSE,-0.88
"1433z","P63101-1",-1.0093088620152566,0.6192756464697833,0.913,FALSE,0.28
"2aaa","Q76MZ3-2",1.4220457261982915,0.9281403682024727,0.927,FALSE,-0.0626
"2aab","Q7TNP2-2",-1.9531633079118036,0.3885143389860888,0.894,FALSE,-1.37
"4f2","P10852-4",-2.1991708888570365,0.7474142188351992,0.919,FALSE,0.571
"A0a075b5p4","A0A075B5P4",5.419318226301356,0.4618001972456347,0.901,FALSE,0.285
"A0a087wq44","A0A087WQ44",-1.087049103084293,0.003678074500461724,0.321,FALSE,-5.29
"A0a087wr97","A0A087WR97",-0.12094854547925896,0.3255435038665284,0.886,FALSE,1.47
"A0a0a0mq98","A0A0A0MQ98",-1.8904969658694009,0.3369699078410436,0.888,FALSE,1.53
"A0a0a0mqa6","A0A0A0MQA6",3.6446340710726983,0.07994706342376807,0.8,FALSE,1.26
"A0a0a6yvp4","A0A0A6YVP4",-2.2422414502365995,6.171525946443533e-5,0.00106,TRUE,-3.84
"A0a0a6ywa9","A0A0A6YWA9",-2.712782240858841,0.038161735916891246,0.727,FALSE,-2.24
"A0a0g2jf16","A0A0G2JF16",-2.3935184278654424,2.9038158278394482e-5,1.64e-4,TRUE,-3.24
"A0a0g2jgy8","A0A0G2JGY8",0.5498754124313233,0.22580418759278764,0.869,FALSE,0.743
"A0a0n4sv80","A0A0N4SV80",-1.203236056061221,3.150001582671959e-8,2.94e-14,TRUE,-6.96
"A0a0n4sva7","A0A0N4SVA7",-2.9161897881924315,0.026377665825283468,0.681,FALSE,-2.05
"A0a0n4svc2","A0A0N4SVC2",1.3193840225558655,0.13661232168181334,0.839,FALSE,-1.47
"A0a0n4svm0","A0A0N4SVM0",1.8818829399605548,0.05576090757910557,0.767,FALSE,1.28
"A0a0n4svq1","A0A0N4SVQ1",-1.2409951172514408,0.062266056724578404,0.778,FALSE,-2.86
"A0a0n4sw48","A0A0N4SW48",-1.899678787604688,0.8704146961407166,0.925,FALSE,0.201
"A0a0r4j0e4","A0A0R4J0E4",-1.5393717326731333,0.031121024753624143,0.702,FALSE,-2.7
"A0a0r4j0j6","A0A0R4J0J6",1.4916908872648709,0.026402797108192273,0.681,FALSE,-2.12
"A0a0r4j1i0","A0A0R4J1I0",0.12682873407736572,0.419814559620206,0.897,FALSE,-0.817
"A0a0u1rpd8","A0A0U1RPD8",1.2456201892023582,0.11623295798785309,0.828,FALSE,-2.11
"A0a140liz5","A0A140LIZ5",-3.4718869303510136,0.2147866199786316,0.866,FALSE,0.35
"A0a140t8m0","A0A140T8M0",2.9731009011091256,0.27367954288033114,0.878,FALSE,0.914
"A0a1b0gqw6","A0A1B0GQW6",3.482149613877348,0.21011296189147188,0.865,FALSE,0.495
"A0a1b0gr50","A0A1B0GR50",-1.1820702299107053,0.03896035736909855,0.729,FALSE,-3.11
"A0a1b0gr63","A0A1B0GR63",-1.7043961296638743,0.6591556225000074,0.915,FALSE,-0.617
"A0a1b0grr8","A0A1B0GRR8",1.3946401230714567,0.32778319565004377,0.887,FALSE,-0.634
"A0a1b0grt5","A0A1B0GRT5",-3.293251516366676,0.7076687462389816,0.917,FALSE,0.204
"A0a1b0gt89","A0A1B0GT89",-2.5574612038607736,5.38026785595375e-6,6.07e-7,TRUE,-2.94
"A0a1d5rld8","A0A1D5RLD8",4.1863494850089555,0.15356450902379673,0.847,FALSE,0.511
"A0a1d5rlv0","A0A1D5RLV0",0.3678309963355242,0.04372082443390006,0.742,FALSE,-1.58
"A0a1d5rlw5","A0A1D5RLW5",3.7582069621171277,0.9822842083676517,0.929,FALSE,0.0111
"A0a1d5rm55","A0A1D5RM55",-3.2592563968375505,0.20029657484427285,0.862,FALSE,-1.02
"A0a1l1suv0","A0A1L1SUV0",-0.31727671634931903,0.7390933313948063,0.919,FALSE,0.411
"A0a1l1sux7","A0A1L1SUX7",-2.8432399724719777,0.0473496686704411,0.751,FALSE,-1.85
"A0a1w2p845","A0A1W2P845",-1.342668256701109,0.2415705356152541,0.872,FALSE,2.37
"A0a286yda2","A0A286YDA2",0.8805296115417789,0.6456456772581751,0.914,FALSE,-0.185
"A0a3b2w430","A0A3B2W430",-0.23236713043039942,0.7824110376174699,0.921,FALSE,0.294
"A0a3q4l2w0","A0A3Q4L2W0",-1.790451006777504,0.6757478944435255,0.916,FALSE,-0.587
"A0a3q4l393","A0A3Q4L393",3.4302736322504943,0.270992614816143,0.878,FALSE,-0.458
"A0a494b9a7","A0A494B9A7",2.9970256416047207,0.009341374262007046,0.51,FALSE,1.53
"A0a494bap7","A0A494BAP7",-2.325264289325506,1.1086267349699918e-5,9.03e-6,TRUE,-3.82
"A0a571bdn7","A0A571BDN7",-1.6787119966660833,0.5538706222259802,0.908,FALSE,-0.494
"A0a571be94","A0A571BE94",1.6568503885046544,0.9053282003625205,0.926,FALSE,-0.0535
"A0a571bf12","A0A571BF12",-1.5550975915409522,0.11302575132242848,0.826,FALSE,-2.52
"A0a5f8mpt6","A0A5F8MPT6",0.3206970024028056,0.08053353253691373,0.8,FALSE,2.27
"A0a668kle1","A0A668KLE1",2.940868057782155,0.04357350380435965,0.742,FALSE,1.79
"A1bn54","A1BN54",5.6850308363593,0.17097305758912454,0.853,FALSE,0.553
"A2a600","A2A600",-2.2587767213196113,0.34630024760265976,0.889,FALSE,-1.31
"A2a654","A2A654",4.0477989275844175,0.3052333887417232,0.883,FALSE,-0.395
"A2a7b5","A2A7B5",-2.6766495424568686,0.05117232340585765,0.759,FALSE,-2.03
"A2a8v7","A2A8V7",-1.6941563830245367,0.3317906946004672,0.887,FALSE,-0.953
"A2ah85","A2AH85",3.543015915325973,0.30016924194025096,0.883,FALSE,-1.09
"A2akv1","A2AKV1",1.4954491378542083,0.6404245472664388,0.914,FALSE,-0.464
"A2al19","A2AL19",-2.8659059527493556,0.7823938317033082,0.921,FALSE,0.319
"A2ala0","A2ALA0",-2.731398743650477,0.03911004206587485,0.73,FALSE,-2.37
"A2any6","A2ANY6",4.237100292555886,0.16229060121823968,0.85,FALSE,-1.3
"A2art4","A2ART4",-0.03420847053633638,0.366506802230778,0.892,FALSE,-0.947
"A2asr7","A2ASR7",-1.0756429434227526,0.05404847030694883,0.764,FALSE,0.904
"A2atq5","A2ATQ5",-1.9264273101588936,0.023969586791595335,0.667,FALSE,-2.62
"A2awf2","A2AWF2",0.6679537901260612,0.47625175792542973,0.903,FALSE,-0.778
"A2awt5","A2AWT5",4.636540370257159,0.2538607117956104,0.875,FALSE,-0.692
"A2awt7","A2AWT7",-3.0654141808499777,0.4244078748909206,0.898,FALSE,-0.679
"A2cg76","A2CG76",3.179231419645806,0.5462732613747352,0.908,FALSE,-0.226
"Abcd3","P55096",-1.774052480473826,0.5342334272083977,0.907,FALSE,0.867
"Abce1","P61222",0.23603549509143665,0.08430467048186872,0.804,FALSE,-3.09
"Abec3","Q99J72",-1.0012194702326744,0.07441099717221893,0.794,FALSE,-1.91
"Acadm","P45952",-3.477149471015213,0.19642593699913008,0.861,FALSE,0.366
"Acinu","Q9JIX8-2",3.240685934179175,0.18306621680618226,0.857,FALSE,-0.765
"Acinu.1","Q9JIX8-4",2.29428063146449,0.3083204103547414,0.884,FALSE,-1.26
"Acl6a","Q9Z2N8",2.047812761677209,0.5089266962777421,0.905,FALSE,-0.538
"Actb","P60710",7.359570561245349,0.05196142528856222,0.76,FALSE,1.07
"Actc","P68033",3.8710670683075588,0.05334738483299676,0.763,FALSE,0.873
"Actn4","P57780",5.986422644413892,0.4750402772611798,0.902,FALSE,0.318
"Addg","Q9QYB5-2",1.118944051382987,1.6000805458336873e-4,0.00717,TRUE,5.49
"Adnp","Q9Z103",2.559357470450575,0.18170813652924261,0.857,FALSE,-0.818
"Adt1","P48962",-1.8338151376879894,0.565265762903624,0.909,FALSE,0.902
"Adt2","P51881",4.0050049214270285,0.9755287854685238,0.929,FALSE,-0.0119
"Somatic Aebp2","Q9Z248",1.1823287614196654,0.005576456701049503,0.407,FALSE,-2.95
"Aebp2","Q9Z248-3",-1.7596321383819047,4.6305496305369125e-8,2.94e-14,TRUE,-5.52
"Ahdc1","Q6PAL7",2.2154845799523843,0.5121153637286397,0.905,FALSE,-0.624
"Aka12","Q9WTQ5",-0.7473686866529559,0.8235459154405981,0.923,FALSE,-0.311
"Akap8","Q9DBR0",-1.320556374710385,0.0017549952951270767,0.183,FALSE,-4.25
"Akip","Q9DCJ7",0.78369164238982,0.38205701108266465,0.893,FALSE,0.606
"Albu","P02769",3.9502801425033596,0.06835638525744515,0.786,FALSE,0.932
"Alrf2","Q9JJW6",1.1265739389588494,0.032465750885514344,0.708,FALSE,1.47
"Anln","Q8K298",-2.63926485421689,0.018122932804616996,0.626,FALSE,2.85
"Anm1","Q9JIF0",-1.2148016235303702,0.02995805884469118,0.697,FALSE,-2.47
"Anx11","P97384",0.33274138331093656,1.836312920072649e-4,0.0092,TRUE,2.07
"Anxa6","P14824",-1.050272876805517,7.550417095814361e-4,0.0764,FALSE,5.07
"Anxa7","Q07076",-1.140214212199517,0.723076238659957,0.918,FALSE,0.478
