SUZ12_isect_FLAG,SUZ12_specific,FLAG_specific
1433t,A0a0a6yw01,1433b
2aaa,A0a0a6yw33,1433e
A0a0g2jgy8,A0a0a6ywg8,1433g
A0a0n4sv80,A0a0b4j1e2,1433s
A0a0n4svc2,A0a0g2jh09,1433z
A0a0r4j0j6,A0a0r4j2b5,2aab
A0a1b0gqw6,A0a0u1rq54,4f2
A0a1b0gr50,A0a140t8t4,A0a075b5p4
A0a1b0grr8,A0a1l1sqs5,A0a087wq44
A0a3b2w430,A0a1l1sst0,A0a087wr97
A0a3q4l2w0,A0a1w2p7h4,A0a0a0mq98
A0a3q4l393,A0a1w2p871,A0a0a0mqa6
A0a494b9a7,A0a2i3brq7,A0a0a6yvp4
A0a571be94,A0a2r8vi28,A0a0a6ywa9
A2a654,A0a338p7k4,A0a0g2jf16
A2akv1,A0a3b2wbm3,A0a0n4sva7
A2art4,A0a494b947,A0a0n4svm0
A2awf2,A0a494bb98,A0a0n4svq1
A2awt5,A2aim4,A0a0n4sw48
A2cg76,Aass,A0a0r4j0e4
Acinu,Actn1,A0a0r4j1i0
Actb,Acts,A0a0u1rpd8
Adnp,Adppt,A0a140liz5
Adt1,Af10,A0a140t8m0
Adt2,Alkb5,A0a1b0gr63
Aebp2,Ap2m1,A0a1b0grt5
Ahdc1,Argl1.1,A0a1b0gt89
Akap8,Arhg2,A0a1d5rld8
Akip,Atpb,A0a1d5rlv0
Albu,Atpd,A0a1d5rlw5
Alrf2,Catin,A0a1d5rm55
Anm1,Cbp,A0a1l1suv0
Aqr,Ccd12,A0a1l1sux7
Argl1,Ccdc9,A0a1w2p845
Arid2,Cfa20,A0a286yda2
Asf1a,Ch10,A0a494bap7
Ash2l,Clasr,A0a571bdn7
Atad5,Cpsf7,A0a571bf12
Atpa,Csde1,A0a5f8mpt6
Atrx,Cxxc1,A0a668kle1
B2rqg2,D3ytq9,A1bn54
Baf,D3yv43,A2a600
Bap18,D3yym6,A2a7b5
Baz1a,D3z5x8,A2a8v7
Baz1b,D3z722,A2ah85
Baz2a,Ddx27,A2al19
Bclf1,Dhx40,A2ala0
Bip,Dhx9,A2any6
Brd1,Djc21,A2asr7
Brd7,Dnja2,A2atq5
Brx1,Dnjc9,A2awt7
Bub3,E9q3p4,Abcd3
Bud13,E9q455,Abce1
Bud31,E9qk89,Abec3
Byst,Eif3d,Acadm
Calm1,Eif3h,Acinu.1
Casa1,Ess2,Acl6a
Casa2,F6r7e8,Actc
Casb,F6v095,Actn4
Cask,F8wi22,Addg
Cbx1,Fa76a,Somatic Aebp2
Cbx5,Fa76b,Aka12
Ccar1,Fip1.1,Anln
Ccd86,Fl2d,Anx11
Ccnb1,Fnbp4,Anxa6
Cd11b,G3bp1,Anxa7
Cdc5l,G3p,Ap2a1
Cdc73,G3x9k7,Ap2b1
Cdk12,Gptc1,Ap2s1
Cdk13,Gptc8,Ap3b1
Cecr2,H2a1k,Apc7
Cg050,H2a2c,Arc1a
Ch60,Hmmr,Arc1b
Chap1,Hxc6,Ari1a
Chd1,If2a,Ari4a
Chd4,If4b,Ari5b
Cherp,If5a2,Aros
Chtop,K1c10.1,Arp2
Ck098,Khdr3,Arp3
Clk2,Kif2a,Arp5
Cof1,Klf4,Arp5l
Cpsf1,Llph,Arp8
Cpsf2,Ln28a,Arpc2
Cpsf3,Ls14b,Arpc3
Cpsf4,Lsm2,Arpc4
Cpsf5,Lsm3,Arpc5
Cpsf6,Map4,Assy
Crnl1,Ml12b,At1a1
Csk21,Mta1,At1a3
Cstf1,Ncbp3.1,At2a2
Cstf3,Nfx1.1,Atad3
Cstft,Nhp2,Atpg
Ctcf,Npat,Atpmk
Ctr9,Nsd1,Atpo
Cul4b,Nufp1,Atx10
Cwc15,Pabp2,Aurka
Cwc22,Pairb,B1awl4
D3yvf4,Paxb1,B2lvg6
D3ywj3,Pde3a,B2rwe8
D3ywx2,Pfkal,B7zc27
D3z0m9,Phf10,B7zcr6
D3z712,Phlb1,B8jj92
Ddb1,Pnisr,Bap18.1
Ddx1,Polh,Bcd1
Ddx17,Ppie,Bcl7b
Ddx20,Prc2a,Bcl7c
Ddx21,Q3u3a7,Bcla3
Ddx24,Q3ull6,Bcor
Ddx3x,Q504p4,Bend3
Ddx3y,Q5sqb0,Bicrl
Ddx41,Q792z1,Blm
Ddx46,Q80x98,Bnc2
Ddx49,Q8vhm5,Bop1
Ddx5,Q9cpn9,Brd2
Ddx50,Q9dcc5,Brd4
Ddx51,Rad50,Brd9
Ddx56,Rbm27,Brpf1
Dest,Rbmx2,Brwd1
Dhx15,Rcor2,Brwd3.1
Dhx30,Rl10,C1qbp
Dhx8,Rl18a,Cadh1
Dido1,Rl21,Capzb
Dkc1,Rlp24,Caza1
Dnja1,Rm30,Caza2
Dnli1,Rm40,Cbx2
Dnm3a,Rn138,Cbx3
Dnm3b,Rpb9,Cbx7
Dnm3l,Rs25,Cc160
Dnmt1,Rs28,Ccar2
Dnmt1.1,Rs29,Ccd61
Dppa2,Rsmb,Cdc23
Dppa4,Rsrc1,Cdk1
Dpy30,Rsrc2,Cdka1
Dx39a,Rtcb,Cenpa
E9pww9,Ru1c,Chd2
E9q4f4,S2513,Chd7
E9q6e5,Scaf4,Chm1a
E9q9y4,Set,Chm2a
E9ql13,Sfswa,Chm4b
E9qn31,Slu7,Ci114
Eaf6,Sp16h,Ck5p2
Ebp2,Spat5,Ckap4
Eed,Spf30,Clh1
Ef1a1,Srp14,Clk1
Ef1g,Srp68,Clpb
Ef2,Srpk2,Cms1
Eftu,Stau1,Cnot1
Ehmt1,Szt2,Coba1
Eif3b,Tba1a,Cobl
Elav1,Tbb4a,Cof2
Elob,Tf3c1,Coia1
Eloc,Tpm3,Coil
Elys,Tri25,Cor1b
Emsy,Tri27,Cor1c
Enoa,Tsr1,Cor2b
Epop,Ttk,Cp131
Erh,V9gxw3,Csk2b
Err2,Vdr,Ctbp2
Esco2,Wwp2,Ctna1
Ezh1,Xpo1,Ctnb1
Ezh2,Ybox2,Cul1
Ezhip,Z4yld0,Cwc25
F6zbr8,Zc3he.1,Cxa1
F6zv59,Zmat3,Cytsa
Fbrl,Zn568,Cytsb
Fip1,NA,D3ytq3
Frg1,NA,D3yu88
Fus,NA,D3yxr5
Fxr1,NA,D3yzq9
G3uvu2,NA,D3z0t0
G3uwq7,NA,D3z2f7
G5e924,NA,D3z4x5
Gapr1,NA,D3z6p9
Gar1,NA,D3z7j8
Gnl3,NA,Daxx
Gnl3l,NA,Ddx10
Grp75,NA,Ddx18
Gtpb4,NA,Ddx27.1
H11,NA,Ddx28
H12,NA,Ddx52
H13,NA,Ddx54
H14,NA,Dek
H15,NA,Desm
H1t,NA,Dhb12
H2a2b,NA,Dhb3
H2av,NA,Dhrs4
H2ax,NA,Dmap1
H2ay,NA,Dock6
H2b1c,NA,Dock7
H33,NA,Dpm1
H4,NA,Dreb
Hat1,NA,Dx39b
Hdac1,NA,Dyhc1
Hdac2,NA,Dyl1
Hdgr2,NA,E0cyh0
Hells,NA,E9pvu0
Hnrh1,NA,E9pw43
Hnrh2,NA,E9pwa7
Hnrl2,NA,E9pwg4
Hnrpc,NA,E9px23
Hnrpf,NA,E9py14
Hnrpk,NA,E9pyf4
Hnrpm,NA,E9pz16
Hnrpq,NA,E9pza7
Hnrpu,NA,E9pzm7
Hs90a,NA,E9q1a5
Hs90b,NA,E9q1z0
Hsp7c,NA,E9q2w9
Hspb1,NA,E9q447
If2b,NA,E9q453
If2b1,NA,E9q580
If2b3,NA,E9q616
If4a1,NA,E9q6a7
If4a2,NA,E9q6r7
If4a3,NA,E9q7q3
If6,NA,E9q8z4
Ilf2,NA,E9qa16
Ilf3,NA,E9qa90
Ima1,NA,E9qae4
Imb1,NA,E9qap7
Ing4,NA,E9qar1
Ing5,NA,E9qnn1
Isy1,NA,Ecd
Iws1,NA,Ef1d
Jade1,NA,Ehd1
Jarid2,NA,Eif3i
K1c10,NA,Eif3l
K1c9,NA,Elp1
K22e,NA,Emd
K2c1,NA,Eme1
Kat6b,NA,Endou
Kat7,NA,Enpl
Kc1a,NA,Ep400
Kc1e,NA,Epc1
Khdr1,NA,Epc2
Ki20a,NA,Eral1
Ki20b,NA,Ercc3
Kifc1,NA,Erln1
Kmt2a,NA,Exos4
Kmt2b,NA,Exosx
Kpym,NA,F6qkd2
La,NA,F6r9g0
Lap2a,NA,F6zlh4
Larp7,NA,F7b5b5
Las1l,NA,F7bp94
Lbr,NA,F8vq29
Lc7l2,NA,F8wgr0
Lc7l3,NA,F8why8
Leo1,NA,Fbw1b
Lin41,NA,Fbx30
Litd1,NA,Finc
Lrwd1,NA,Flii
Lsm6,NA,Flna
Lsm8,NA,Flnb
Ltv1,NA,G3uwe1
Luc7l,NA,G3ux48
Lyar,NA,G3uys8
Mabp1,NA,G3x8x0
Matr3,NA,G3x926
Mbb1a,NA,G3x956
Mbd3,NA,G45ip
Mcm3,NA,Gdf3
Mcm5,NA,Gels
Mcm6,NA,Gels.1
Mfa1b,NA,Gemi5
Mgap,NA,Glyr1
Mgn,NA,Gnai3
Mint,NA,Gpc4
Mmta2,NA,Gptc4
Morc3,NA,Grwd1
Mpcp,NA,Gtr1
Mpp8,NA,H10
Msh2,NA,H2a1h
Msh6,NA,H2a2a
Mtf2,NA,H2b1b
Mtrex,NA,H32
Myef2,NA,H3bk51
Myh10,NA,H3blb0
Myh9,NA,H3bli5
Myl6,NA,Hcfc1
Myo1b,NA,Hic2
Myo1c,NA,Hira.1
Mypt1,NA,Hm20a
Ncbp1,NA,Hmga2
Ncbp2,NA,Hnrpc.2
Ncoa5,NA,Hnrpd
Neua,NA,Hnrpl
Nh2l1,NA,Hp1b3
Nkap,NA,Hxk2
Nob1,NA,I7hlv2
Nog2,NA,Ifm2
Nolc1,NA,Igh1m
Nono,NA,Igkc
Nop10,NA,Ima3
Nop14,NA,Imdh2
Nop16,NA,In80b
Nop56,NA,In80c
Np1l1,NA,Ino80
Nsun2,NA,Int1
Nsun5,NA,Int10
Nucl,NA,Int11
Numa1,NA,Int12
Nusap,NA,Int13
Nxf1,NA,Int14
Ogt1,NA,Int2
Orc1,NA,Int3
P66a,NA,Int4
P66b,NA,Int5
Pabp1,NA,Int6
Paf1,NA,Int9
Pb1,NA,Ipo4
Pcbp1,NA,Iqga1
Pcbp2,NA,Itpi2
Pcm1,NA,Itpr1
Pdip3,NA,Itpr3
Pelp1,NA,K1c17
Pesc,NA,K1c19
Pgam5,NA,K1c42
Phc1,NA,K2c5
Phf14,NA,K2c6b
Phf19,NA,K4di61
Phf5a,NA,Kank2
Phrf1,NA,Kanl1
Pinin,NA,Kanl2
Pk1ip,NA,Kanl3
Plrg1,NA,Kap0
Pogz,NA,Kc1d
Pp1b,NA,Kctd5
Ppig,NA,Kdm1a
Ppil1,NA,Kdm2a
Ppil3,NA,Kdm2b
Pr38a,NA,Kdm5b
Pr38b,NA,Ki18b
Pr40a,NA,Ki67
Prc2c,NA,Kif22
Prdx1,NA,Kif23
Prp17,NA,Kif2c
Prp19,NA,Kif4
Prp31,NA,Kit
Prp4,NA,Klf16
Prp4b,NA,Knop1
Prp6,NA,Kpyr
Prp8,NA,L7n208
Prpf3,NA,Lactb
Psip1,NA,Lap2b
Psip1.1,NA,Lat1
Pspc1,NA,Ldha
Puf60,NA,Leng8
Pwp1,NA,Lima1
Pwp3a,NA,Lima1.1
Pyr1,NA,Lmbl2
Q3kr45,NA,Lmnb1
Q3tmp1,NA,Lmtk2
Q3ubl8,NA,Lrc59
Q3ujb0,NA,Lrch1
Q542v3,NA,Lrch4
Q642k5,NA,Lsg1
Q6p5b5,NA,Lsm4
Q6zwz4,NA,Luzp1
Q80zm5,NA,Lyric
Q8bgj5,NA,Magt1
Q8k1g7,NA,Map7
Q8k205,NA,Max
Q8r0b4,NA,Mbtd1
Q921k2,NA,Mcat
Q9cxw7,NA,Mcm2
Q9cyj8,NA,Mcm4
Q9dae2,NA,Mcm7
Qcr2,NA,Mcrs1
Raly,NA,Mdc1
Ran,NA,Men1
Rbbp4,NA,Mic19
Rbbp5,NA,Mic60
Rbbp6,NA,Mk01
Rbbp7,NA,Mo4l1
Rbm10,NA,Mot1
Rbm14,NA,Mov10
Rbm15,NA,Mprip
Rbm22,NA,Mta2
Rbm25,NA,Mta3
Rbm39,NA,My18a
Rbm8a,NA,Myh14
Rbps2,NA,Myl3
Rcc2,NA,Myl6b
Red,NA,Myo10
Rest,NA,Myo1c.1
Rfc1,NA,Myo1d
Rfc2,NA,Myo1e
Rfc4,NA,Myo5a
Rif1,NA,Nat10
Ring2,NA,Nckp1
Rl10a,NA,Nfrkb
Rl11,NA,Nip7
