"name","ID","Mean_PSM","∆ex4vsWT_p.val","∆ex4vsWT_p.adj","∆ex4vsWT_significant","∆ex4vsWT_ratio","Label","pretty_name","Label_fill"
"1433t","P68254-1",1.75844412178688,0.7736749098268775,0.989,FALSE,0.15,FALSE,"1433t","white"
"2aaa","Q76MZ3-2",0.29639751643461604,0.9626435863560934,0.991,FALSE,-0.0222,FALSE,"2aaa","white"
"A0a0a6yw01","A0A0A6YW01",1.512783320801103,0.7413888379807716,0.988,FALSE,0.15,FALSE,"A0a0a6yw01","white"
"A0a0a6yw33","A0A0A6YW33",0.5743959888699942,0.24749623855701544,0.973,FALSE,-0.67,FALSE,"A0a0a6yw33","white"
"A0a0a6ywg8","A0A0A6YWG8",0.7897327481572096,0.3572450805590523,0.98,FALSE,-0.342,FALSE,"A0a0a6ywg8","white"
"A0a0b4j1e2","A0A0B4J1E2",4.624356952145415,0.6193090219609935,0.987,FALSE,-0.139,FALSE,"A0a0b4j1e2","white"
"A0a0g2jgy8","A0A0G2JGY8",1.7924669648892195,0.8771533956051496,0.99,FALSE,0.0423,FALSE,"A0a0g2jgy8","white"
"A0a0g2jh09","A0A0G2JH09",0.5167198574028747,0.5494467546724586,0.985,FALSE,-0.463,FALSE,"A0a0g2jh09","white"
"A0a0n4sv80","A0A0N4SV80",3.2535950302939565,0.997017414172663,0.991,FALSE,0.00137,FALSE,"A0a0n4sv80","white"
"A0a0n4svc2","A0A0N4SVC2",3.4874051545549762,0.40957787779459953,0.982,FALSE,-0.306,FALSE,"A0a0n4svc2","white"
"A0a0r4j0j6","A0A0R4J0J6",3.2744398886556088,0.06889792773675203,0.91,FALSE,1.01,FALSE,"A0a0r4j0j6","white"
"A0a0r4j2b5","A0A0R4J2B5",0.9406150348423239,0.7867126734849466,0.989,FALSE,0.237,FALSE,"A0a0r4j2b5","white"
"A0a0u1rq54","A0A0U1RQ54",0.6949551765335874,0.5041776872208732,0.985,FALSE,-0.429,FALSE,"A0a0u1rq54","white"
"A0a140t8t4","A0A140T8T4",1.5282990067108753,0.16297340594850424,0.961,FALSE,-1.04,FALSE,"A0a140t8t4","white"
"A0a1b0gqw6","A0A1B0GQW6",2.829539782965096,0.5655145870960727,0.986,FALSE,-0.16,FALSE,"A0a1b0gqw6","white"
"A0a1b0gr50","A0A1B0GR50",2.307244127792291,0.3443446901488252,0.979,FALSE,0.366,FALSE,"A0a1b0gr50","white"
"A0a1b0grr8","A0A1B0GRR8",2.2856970526690614,0.19211710205274077,0.966,FALSE,0.537,FALSE,"A0a1b0grr8","white"
"A0a1l1sqs5","A0A1L1SQS5",0.33329600699139955,0.8222528600223739,0.989,FALSE,-0.096,FALSE,"A0a1l1sqs5","white"
"A0a1l1sst0","A0A1L1SST0",0.7276786309521158,0.42276477849355965,0.982,FALSE,0.449,FALSE,"A0a1l1sst0","white"
"A0a1w2p7h4","A0A1W2P7H4",4.562677690400133,0.8443096035584369,0.99,FALSE,0.0697,FALSE,"A0a1w2p7h4","white"
"A0a1w2p871","A0A1W2P871",0.9540016073715777,0.37944021683117074,0.981,FALSE,0.386,FALSE,"A0a1w2p871","white"
"A0a2i3brq7","A0A2I3BRQ7",2.765324247144862,0.9020632560429475,0.99,FALSE,-0.0318,FALSE,"A0a2i3brq7","white"
"A0a2r8vi28","A0A2R8VI28",1.248614344913361,0.9897775934669362,0.991,FALSE,0.0113,FALSE,"A0a2r8vi28","white"
"A0a338p7k4","A0A338P7K4",-0.024772047617561316,0.8489140209841926,0.99,FALSE,-0.0466,FALSE,"A0a338p7k4","white"
"A0a3b2w430","A0A3B2W430",1.1511242554673558,0.4861568048799747,0.984,FALSE,0.658,FALSE,"A0a3b2w430","white"
"A0a3b2wbm3","A0A3B2WBM3",2.7360999442304723,0.4915387536461241,0.984,FALSE,0.483,FALSE,"A0a3b2wbm3","white"
"A0a3q4l2w0","A0A3Q4L2W0",0.8333057248659497,0.5063083352691448,0.985,FALSE,0.237,FALSE,"A0a3q4l2w0","white"
"A0a3q4l393","A0A3Q4L393",3.988675334508376,0.7746569468191549,0.989,FALSE,-0.121,FALSE,"A0a3q4l393","white"
"A0a494b947","A0A494B947",1.829529624757125,0.30463904830759325,0.977,FALSE,0.506,FALSE,"A0a494b947","white"
"A0a494b9a7","A0A494B9A7",1.9300541506938862,0.6773488735236406,0.988,FALSE,0.216,FALSE,"A0a494b9a7","white"
"A0a494bb98","A0A494BB98",0.314670664429834,0.06504514171058785,0.905,FALSE,-0.8,FALSE,"A0a494bb98","white"
"A0a571be94","A0A571BE94",2.7486346919756937,0.505437069591157,0.985,FALSE,-0.322,FALSE,"A0a571be94","white"
"A2a654","A2A654",2.0710277504052517,0.16890727864190583,0.962,FALSE,-0.707,FALSE,"A2a654","white"
"A2aim4","A2AIM4",2.8714574398102948,0.0435890086236413,0.854,FALSE,-2.12,FALSE,"A2aim4","white"
