Sample	PSI	GENE	EVENT	Species	Group
Cervix_SE	91.6	SUZ12	EX4	Armadillo	Cervix
Cerebellum_SE	80	SUZ12	EX4	Armadillo	Cerebellum
Testis_SE	66.67	SUZ12	EX4	Armadillo	Testis
Liver_SE	80	SUZ12	EX4	Armadillo	Liver
Heart_SE	89.47	SUZ12	EX4	Armadillo	Heart
Heart_PE	100	SUZ12	EX4	Armadillo	Heart
Brain_SE	100	SUZ12	EX4	Armadillo	Brain
Spleen_PE	93.94	SUZ12	EX4	Armadillo	Spleen
Lung_PE	92.59	SUZ12	EX4	Armadillo	Lung
Liver_PE	73.33	SUZ12	EX4	Armadillo	Liver
Kidney_SE	85.71	SUZ12	EX4	Armadillo	Kidney
Kidney_PE	100	SUZ12	EX4	Armadillo	Kidney
Cerebellum_PE	94.44	SUZ12	EX4	Armadillo	Cerebellum
Muscle_PE	81.82	SUZ12	EX4	Armadillo	Muscle
Cervix_PE	71.43	SUZ12	EX4	Armadillo	Cervix
Ovary_SE	100	SUZ12	EX4	Armadillo	Ovary
Placenta_B_F	100	SUZ12	EX4	Elephant	Placenta
Fibroblast_B_F	100	SUZ12	EX4	Elephant	Fibroblast
PBMC_D_F	86.38	SUZ12	EX4	Elephant	PBMC
PBMC_B_F	86.26	SUZ12	EX4	Elephant	PBMC
Placenta_A_F	100	SUZ12	EX4	Elephant	Placenta
PBMC_A_F	90.35	SUZ12	EX4	Elephant	PBMC
Fibroblast_A_F	66.67	SUZ12	EX4	Elephant	Fibroblast
PBMC_C_F	87.72	SUZ12	EX4	Elephant	PBMC
Fibroblast_C_M	91.55	SUZ12	EX4	Elephant	Fibroblast
PBMC_B	90	SUZ12	EX4	Manatee	PBMC
PBMC_H	100	SUZ12	EX4	Manatee	PBMC
PBMC_J	92.59	SUZ12	EX4	Manatee	PBMC
PBMC_C	100	SUZ12	EX4	Manatee	PBMC
PBMC_I	100	SUZ12	EX4	Manatee	PBMC
PBMC_G	91.43	SUZ12	EX4	Manatee	PBMC
PBMC_K	100	SUZ12	EX4	Manatee	PBMC
PBMC_F	87.1	SUZ12	EX4	Manatee	PBMC
PBMC_E	82.61	SUZ12	EX4	Manatee	PBMC
PBMC_A	87.1	SUZ12	EX4	Manatee	PBMC
PBMC_D	100	SUZ12	EX4	Manatee	PBMC
brain_rna_1	NA	SUZ12	EEJs	Platypus	brain
testis_rna_2	100	SUZ12	EEJs	Platypus	testis
testis_rna_3	100	SUZ12	EEJs	Platypus	testis
liver_rna_1	100	SUZ12	EEJs	Platypus	liver
testis_rna_1	100	SUZ12	EEJs	Platypus	testis
liver_rna_2	100	SUZ12	EEJs	Platypus	liver
brain_rna_3	NA	SUZ12	EEJs	Platypus	brain
liver_rna_3	100	SUZ12	EEJs	Platypus	liver
brain_rna_2	100	SUZ12	EEJs	Platypus	brain
