GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Group	Category	Species
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Bones	100	OK	S1	Other	Other	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Brain_4_fem	100	OK	S1	Neuronal	Neuronal	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Brain_4_male	100	LOW	S1	Neuronal	Neuronal	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Brain_A	100	OK	S1	Neuronal	Neuronal	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Brain_Telenc	100	SOK	S1	Neuronal	Neuronal	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Cerebellum	100	OK	S1	Neuronal	Neuronal	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Eggs_A	97.59	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_10som	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_12hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_16hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_1K	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_20hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_A	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_Sf3b1_MOatg	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_Sf3b1_MOspl	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_Sf3b1_TST	98.97	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_Sf3b1_WT_a	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_24hpf_Sf3b1_WT_b	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_26hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_28hpf	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_2C4C_M	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_2hpf_c	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_2hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_32hpf_bud13_KO_M	100	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_32hpf_bud13_sib_M	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_48hpf_A	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_48hpf_B	93.1	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_4dpf_A	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_5dpf_A	100	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_6dpf_A	100	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_72hpf_A	100	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_7dpf_A	100	VLOW	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_8hpf_H	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Bud	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Dome	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Gata1_cells	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Head_5_6dpf	100	OK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Heart_48hpf	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_oblong_A	100	SOK	S1	Embryonic	Embryonic	Zebrafish
suz12a	DreEX0076606	chr3:35733150-35733218	69	chr3:35733427,35733150-35733218,35733062	S	Embr_Shield_A	100	SOK	S1	Embryonic	Embryonic	Zebrafish
