"GENE"	"EVENT"	"label"	"Category_Num"	"COORD"	"LENGTH"	"FullCO"	"COMPLEX"	"Sample"	"PSI"	"Quality_Score_Value"	"Quality_Score_Type"	"Group"	"Category"	"Colour"	"Species"	"Event_Num"	"ORF"	"PRC2_Component"	"Length_bp"	"COORD_hg38"	"PMID"	"short_vst_id"	"Num_Samples"	"Category_Short"	"median_PSI"
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Adipose_b"	84.51	"SOK"	"S1"	"Adipose"	"Glandular"	"ivory3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Adipose_c"	76.8	"SOK"	"S1"	"Adipose"	"Glandular"	"ivory3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Adipose_d"	82.7	"SOK"	"S1"	"Adipose"	"Glandular"	"ivory3"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Adrenal_b"	92.48	"OK"	"S1"	"Adrenal"	"Glandular"	"ivory4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Adrenal_c"	72.17	"VLOW"	"S1"	"Adrenal"	"Glandular"	"ivory4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Neuronal
(22)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Astrocytes"	95.08	"OK"	"S1"	"Glia"	"Neuronal"	"deepskyblue2"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	22	"Neuro."	71.25
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Glandular
(13)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Bladder_a"	78.78	"SOK"	"S1"	"Bladder"	"Glandular"	"ivory4"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	13	"Gland."	82.875
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Bone_marrow_a"	100	"VLOW"	"S1"	"Bone_Marrow"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Bone_marrow_b"	92.24	"SOK"	"S1"	"Bone_Marrow"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
"PHF19"	"HsaEX0046985"	"PHF19-ex12"	"Other
(69)"	"chr9:120861973-120862005"	33	"chr9:120862588+120862613,120861918+120861973-120862005,120861174"	"S"	"Bone_marrow_c"	87.66	"SOK"	"S1"	"Bone_Marrow"	"Other"	"pink1"	"Human"	"exon12"	"x"	"PRC2.1"	88	"chr9:120861918-120862005"	NA	"46985"	69	"Other"	85.26
