GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Species	Group	Category
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Adipose_h	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Blood_g	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Brain_Fem_ak	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Brain_gh	100	VLOW	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Brain_Male_akl	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Cerebellum_K	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Colon_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Diaphragm_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Ear_Pinna_h	100	N	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Embr_9_12dpc_gh	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Embr_Brain_13dpc_ab	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Embr_Brain_13dpc_cde	99.06	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Embr_Brain_13dpc_fgh	100	SOK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	Endom_Preg_a	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	EndomStrFibrobl_ab	100	OK	S1	Opossum	TBA	TBA
SUZ12	MdoEX0062227	chr2:503899587-503899655	69	chr2:503906379,503899587-503899655,503892825	S	ExtraEmbr_13dpc_ab	100	OK	S1	Opossum	TBA	TBA
