GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Group	Category	Species
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	AbdominalFat	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	BMDMacroph	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Brain_BNP	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Brain_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Brain_Male	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Brain_Telencephalon	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Bursa_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Bursa_Male	99.66	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	CerebellumP	100	N	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	CL_DF1	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	CL_DT40	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	CL_DT40_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	ColonB	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_7d	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_Blastoderm_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_Blastoderm_Male	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH11	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH11_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH14	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH14_c	98.48	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH16	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH19	98.96	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH21_22_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH25_26_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH28	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH32_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH36_c	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH38	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH4_c	99.54	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_HH6	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_PrimStreak	100	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_Scales	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_StageX_a	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_StageX_b	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Embr_StageX_c	99.46	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Fetal_FemGonads	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Fetal_MaleGonads	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Heart_BNP	100	N	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Heart_Fem	100	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Heart_Male	97.5	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Kidney_BNP	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Kidney_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Kidney_Male	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Liver_BNP	100	VLOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Liver_Fem	100	VLOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Liver_Male	100	VLOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Lung_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Lung_Male	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	LungB	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Magnum	100	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Muscle_BN	100	N	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Muscle_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Muscle_Male	100	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	NeuralCrest	100	LOW	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Ovarium_Fem	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Spleen_Fem	100	OK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Spleen_Male	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	SpleenB	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Testis_b	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Testis_BP	100	SOK	S1	TBA	TBA	Chicken
SUZ12	GgaEX6016190	chr18:6568334-6568402	69	chr18:6564829,6568334-6568402,6569005	ANN	Tibial_bone	100	SOK	S1	TBA	TBA	Chicken
