GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Group	Category	Species
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Adrenal_a	NA	N	S1	Adrenal	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Adrenal_b	92.29	SOK	S1	Adrenal	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Adrenal_c	83.4	SOK	S1	Adrenal	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Astrocytes	78.16	SOK	S1	Astrocytes	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Bladder_a	87.69	SOK	S1	Bladder	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Bladder_b	87.69	SOK	S1	Bladder	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Bladder_c	100	LOW	S1	Bladder	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	BM_DM_a	86.3	SOK	S1	BM_DM	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	BM_DM_b	91.55	SOK	S1	BM_DM	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Bone_marrow	100	N	S1	Bone_marrow	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Brain_Endothelium	84.99	SOK	S1	Brain_Endothelium	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Brown_Adipose	82.53	OK	S1	Brown_Adipose	Glandular	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Cerebellum_a	85.08	OK	S1	Cerebellum	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Cerebellum_b	84.01	SOK	S1	Cerebellum	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Cerebellum_c	88.77	SOK	S1	Cerebellum	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_3T3_a	85.9	SOK	S1	3T3	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_3T3_b	81.49	SOK	S1	3T3	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_C2C12_a	84.4	SOK	S1	C2C12	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_C2C12_b	84.89	SOK	S1	C2C12	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_CH12	83.68	SOK	S1	CH12	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_MEL	89.24	SOK	S1	MEL	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_N2A_b	81.28	SOK	S1	N2A	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CL_N2A_c	84.49	SOK	S1	N2A	Cell_Lines	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CLP_a	88.7	SOK	S1	CLP	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CLP_b	83.31	SOK	S1	CLP	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CMP_a	87.14	SOK	S1	CMP	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CMP_b	83.28	SOK	S1	CMP	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	CMP_c	89.69	SOK	S1	CMP	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Colon_a	88.9	SOK	S1	Colon	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Colon_b	91.47	OK	S1	Colon	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Colon_c	90.66	SOK	S1	Colon	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Cortex_a	88.41	OK	S1	Cortex	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Cortex_b	91.4	SOK	S1	Cortex	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Dermis_a	NA	N	S1	Dermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Dermis_b	NA	N	S1	Dermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Dermis_c	NA	N	S1	Dermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_2C_a	79.9	SOK	S1	Embr_2C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_2C_b	87.3	SOK	S1	Embr_2C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_2C_c	84.55	SOK	S1	Embr_2C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_4C_a	73.56	SOK	S1	Embr_4C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_4C_b	95.81	SOK	S1	Embr_4C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_8C_a	81.62	OK	S1	Embr_8C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_8C_b	100	SOK	S1	Embr_8C	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_Brain_E11_5	87.46	SOK	S1	Brain_E11.5	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_Brain_E14_5	96.28	SOK	S1	Brain_E14.5	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_Cortex_E17_5	94.1	SOK	S1	Brain_E17.5	Neuronal	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_Limb_E14_5	88.46	SOK	S1	PGC	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Embr_Liver_E14_5	87.79	SOK	S1	PGC	Embryonic	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Epidermis_a	NA	N	S1	Epidermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Epidermis_b	NA	N	S1	Epidermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Epidermis_c	NA	N	S1	Epidermis	Other	Mouse
Suz12	MmuEX0045831	chr11:79999057-79999125	69	chr11:79995809,79999057-79999125,80007513	S	Erythroblasts_a	100	VLOW	S1	Erythroblasts	Other	Mouse
