GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Species	Group	Category
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adipose_a	80.96	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adipose_b	83.57	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adipose_c	96.22	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adipose_d	92.41	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adipose_e	88.96	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adrenal_Cortex_a	92.5	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Adrenal_Medulla_a	90.39	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Blastocyst_f	87.73	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Bone_Marrow_a	NA	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_b	98.62	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_c	81.19	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_Pituitary_a	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_Pituitary_b	95.27	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_SME_Pons	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Brain_Stem_a	91.71	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Caudal_Lobe_a	100	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Cerebellum_a	96.52	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Colon_a	NA	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Colon_c	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Cortex_a	100	LOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_10d_c	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_13d_c	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_16C_a	74.51	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_16d_c	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_19d_c	92.16	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_4C_a	98.36	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_7d_c	100	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_8C_a	93.23	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_8C_b	96.33	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_8C_d	91.02	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_Blastocyst_a	98.12	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_Blastocyst_e	77.99	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Embr_Brain_Dienc	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_a	92.13	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_b	92.96	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_c	84.75	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_d	86.85	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_e	84.05	LOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_f	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_g	60	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrial_Cells_a_h	74.48	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Endometrium_a	91.16	SOK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Epididymus_a	28.94	VLOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	ESC_a	72.7	OK	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	ESC_b	75.79	LOW	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Eye_Pigm_Epithelium	100	N	S1	Cow	TBA	TBA
SUZ12	BtaEX0035240	chr19:18188911-18188979	69	chr19:18193223,18188911-18188979,18180697	S	Fibroblast_Cardiac_a	72.33	OK	S1	Cow	TBA	TBA
