Human	hg38	chr17	31947616	31947685	+
Chimp	panTro6	chr17	24324376	24324445	-
Gorilla	gorGor6	chr5	45090478	45090547	-
Orangutan	ponAbe2	chr17	25514857	25514926	-
Gibbon	nomLeu3	chr19	36938626	36938695	-
Green_monkey	chlSab2	chr16	25424247	25424316	+
Crab-Eating_macaque	macFas5	chr16	28180790	28180859	+
Rhesus_macaque	rheMac10	chr16	28227671	28227740	+
Baboon	papAnu2	chr16	24981689	24981758	+
Squirrel_monkey	saiBol1	JH378149	17319260	17319329	+
Slow_loris	GCA_004027815.1	PVIV010003697.1	61728	61797	-
Marmoset	calJac4	chr5	101032218	101032287	-
Bushbaby	otoGar3	GL873631	3726921	3726990	+
Chinese_tree_shrew	tupChi1	KB320856	656378	656447	+
Mouse	mm10	chr11	79999056	79999125	+
Rat	rn6	chr10	67332917	67332986	+
Lesser_egyptian_jerboa	jacJac1	JH725508	9553346	9553415	-
Chinese_hamster	criGri1	KE378754	648908	648977	+
Chinchilla	chiLan1	JH721941	6876007	6876076	+
Brush-Tailed_rat	octDeg1	JH651587	8079147	8079216	+
Naked_mole-Rat	hetGla2	JH602188	4435259	4435328	+
Squirrel	speTri2	JH393348	2962097	2962166	-
Guinea_pig	cavPor3	scaffold_32	14777646	14777715	-
Eurasian_water_vole	GCF_903992535.2	NC_052050.1	41306205	41306274	-
Prairie_vole	micOch1	chr7	19060631	19060700	-
Rabbit	oryCun2	chr19	21496761	21496830	+
Pika	ochPri3	JH802125	3131177	3131246	-
Malayan_flying_lemur	galVar1	NW_007730027v1	155967	156036	+
Hedgehog	eriEur2	JH835782	1051193	1051262	+
Shrew	sorAra2	JH798179	202730	202799	+
Star-Nosed_mole	conCri1	JH655894	37794226	37794295	+
Pig	susScr11	chr12	43024037	43024106	-
Cow	bosTau9	chr19	18188910	18188979	-
Bison	bisBis1	KN265168v1	5855097	5855166	+
Zebu	GCF_000247795.1	chr19	18025400	18025469	-
Tibetan_antelope	panHod1	KE119017	911153	911222	-
Bactrian_camel	camFer1	KB017029	1408089	1408158	-
Sheep	oviAri4	chr11	17782669	17782738	-
Domestic_goat	capHir1	chr19	17547100	17547169	-
Aoudad	GCA_002201775.1	NIVO01063993.1	2214744	2214813	-
Dolphin	turTru2	JH474001	118816	118885	+
Minke_whale	balAcu1	KI538197	673974	674043	+
Gray_whale	GCA_004363415.1	RJWN010008112.1	43689	43758	-
Killer_whale	orcOrc1	KB316861	20068691	20068760	+
Red_deer	GCF_910594005.1	NC_057819.1	90967406	90967475	-
Alpaca	vicPac2	KB632579	1998117	1998186	+
Arabian_camel	GCF_000803125.2	chr16	31984056	31984125	-
Horse	equCab3	chr11	40836368	40836437	-
White_rhinoceros	cerSim1	JH767835	2870788	2870857	-
Dog	canFam4	chr9	41004369	41004438	-
Dingo	GCF_012295265.1	NW_023365136.1	42943707	42943776	-
Ferret	musFur1	GL896917	6130953	6131022	+
Panda	ailMel1	GL192339.1	3793887	3793956	+
