GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Species	Group	Category
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Brain_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Brain_b	100	OK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Embr_Stage32_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Epithelium_b	100	OK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Gills_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Heart_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Intestine_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Kidney_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Kidney_b	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Liver_a	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Liver_b	100	VLOW	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Muscle_a	NA	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Muscle_b	100	N	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Ovary_a	100	VLOW	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Ovary_b	100	SOK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Retina_b	100	OK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Spleen_a	100	OK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Spleen_b	100	SOK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Testis_a	100	OK	S1	ElephantShark	TBA	TBA
SUZ12	CmiEX6080697	KI635864:111977-112045	69	KI635864:106344,111977-112045+112010,112494+113484	ANN	Thymus_a	100	N	S1	ElephantShark	TBA	TBA
