GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_b	86.76	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_c	NA	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_d	94.29	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adrenal_b	87.63	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adrenal_c	83.03	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Amnion	85.08	LOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Astrocytes	74.82	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bladder_a	85.43	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_a	89.41	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_b	88.75	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_c	89.86	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Brain_Endoth	100	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Breast_a	97.01	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Breast_Epith_a	86.53	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cerebellum_a	64.63	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cerebellum_c	81	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Chorion	100	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_293T	87	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_EndoBH1C_a	91.92	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_Gm12878	88.83	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_HeLa	77.85	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_K562	87.89	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_LP1	87.95	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_MB231	86.35	VLOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_MCF7	83.75	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_PNT2	84.92	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_SHSY5Y_noRA	92.63	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_SHSY5Y_RA	88.97	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_b	86.4	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_sigmoid	85.35	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_transverse	82.41	SOK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cortex	83.02	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Decidua	85.66	OK	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_2C_a_A	100	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_2C_a_B	100	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_A	NA	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_B	NA	N	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_C	100	VLOW	S1
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_A	67.96	SOK	S1
