GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Group	Category	Species
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_b	86.76	SOK	S1	Adipose	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_c	NA	N	S1	Adipose	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adipose_d	94.65	SOK	S1	Adipose	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adrenal_b	88.05	OK	S1	Adrenal	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Adrenal_c	83.33	SOK	S1	Adrenal	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Amnion	85.43	LOW	S1	Amnion	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bladder_a	85.86	SOK	S1	Bladder	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_a	89.41	SOK	S1	Bone_Marrow	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_b	88.67	SOK	S1	Bone_Marrow	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Bone_marrow_c	89.59	SOK	S1	Bone_Marrow	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Breast_a	85.19	SOK	S1	Breast	Glandular	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Breast_Epith_a	84.43	SOK	S1	Breast_Epith	Epithelial	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cerebellum_a	63.5	SOK	S1	Cerebellum	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cerebellum_c	81.22	SOK	S1	Cerebellum	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Chorion	100	N	S1	Chorion	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_293T	87.39	SOK	S1	HEK293T	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_Gm12878	89.75	SOK	S1	Gm12878	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_HeLa	75.71	SOK	S1	HeLa	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_K562	86.67	SOK	S1	K562	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_LP1	85.77	SOK	S1	LP1	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_MB231	86.35	VLOW	S1	MB231	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_MCF7	83.78	SOK	S1	MCF7	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	CL_PNT2	85.11	OK	S1	PNT2	Cell_Lines	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_b	86.84	SOK	S1	Colon	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_sigmoid	85.32	SOK	S1	Colon_sigmoid	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Colon_transverse	84.8	SOK	S1	Colon_sigmoid	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Cortex	85.05	SOK	S1	Cortex	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Decidua	87.33	OK	S1	Decidua	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_2C_a_A	100	N	S1	Embr_2C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_2C_a_B	100	N	S1	Embr_2C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_A	NA	N	S1	Embr_4C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_B	NA	N	S1	Embr_4C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_4C_a_C	100	VLOW	S1	Embr_4C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_A	67.96	SOK	S1	Embr_8C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_B	100	SOK	S1	Embr_8C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_C	64.99	SOK	S1	Embr_8C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_8C_a_D	73.37	SOK	S1	Embr_8C	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_13wpc	82.28	SOK	S1	Cortex_13wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_14wpc	75.84	SOK	S1	Cortex_14wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_15wpc	83.61	SOK	S1	Cortex_15wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_16wpc	82.07	SOK	S1	Cortex_16wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Cortex_17wpc	80.09	SOK	S1	Cortex_17wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_11_12wpc	81.37	SOK	S1	Forebrain_11-12wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_9_10wpc	77.64	SOK	S1	Forebrain_9-10wpc	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St13_14	74.99	SOK	S1	Forebrain_St13_14	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St17_20	77.34	SOK	S1	Forebrain_St17_20	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Forebrain_St22_23	78.73	SOK	S1	Forebrain_St22_23	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_ICM_a_A	100	SOK	S1	ICM	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Morula_a_A	81.17	SOK	S1	Morula	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_Morula_a_B	77.68	SOK	S1	Morula	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_TE_a_A	77.25	SOK	S1	TE	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Embr_TE_a_B	90.32	SOK	S1	TE	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EndomStromCells	100	LOW	S1	EndomStromCells	Epithelial	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EndothCells	83.49	SOK	S1	EndothCells	Epithelial	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EpithelialCells	92.47	SOK	S1	EpithelialCells	Epithelial	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_a	69.77	SOK	S1	ESC_H1	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_b	87.09	SOK	S1	ESC_H1	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_c	84.49	SOK	S1	ESC_H1	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H1_d	86.18	SOK	S1	ESC_H1	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H9_a	84.66	OK	S1	H9	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	ESC_H9_b	96.99	N	S1	H9	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Fibroblasts	86.63	SOK	S1	Fibroblasts	Epithelial	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Frontal_Gyrus_old	57.7	SOK	S1	Frontal_Gyrus_old	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Frontal_Gyrus_young	62.07	SOK	S1	Frontal_Gyrus_young	Neuronal	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	GLS_cells	88.56	SOK	S1	GLS_cells	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_a	74.31	OK	S1	Heart	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_b	87.68	SOK	S1	Heart	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Heart_c	NA	N	S1	Heart	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	HFDPC	88.96	SOK	S1	HFDPC	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	HMEpC_a	84.06	SOK	S1	HMEpC_a	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	iPS_a	86.18	SOK	S1	iPSC	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	iPS_b	78	SOK	S1	iPSC	Embryonic	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_b	74.8	OK	S1	Kidney	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_c	NA	N	S1	Kidney	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Kidney_d	100	OK	S1	Kidney	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_a	82.2	VLOW	S1	Liver	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_b	76.35	SOK	S1	Liver	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Liver_c	96.6	OK	S1	Liver	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_b	82.83	SOK	S1	Lung	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_e	86.81	SOK	S1	Lung	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lung_f	84.19	SOK	S1	Lung	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lymph_node_b	88.19	SOK	S1	Lymph_node	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Lymph_node_c	90.66	SOK	S1	Lymph_node	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Melanocytes	95.46	SOK	S1	Melanocytes	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	MonoNucCells	95.64	SOK	S1	MonoNucCells	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	MSC	84.5	SOK	S1	MSC	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_b	76.72	LOW	S1	Muscle	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_d	75.89	LOW	S1	Muscle	Other	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	Muscle_e	89.86	OK	S1	Muscle	Other	Human
