GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	Group_Name	Stage	Num	Run	Stage_Pretty	Species
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell1_cell1	56.84	OK	S1	Yan et al. 2013	EightCell	cell1	SRR490973	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell1_cell2	100	OK	S1	Yan et al. 2013	EightCell	cell2	SRR490974	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell1_cell3	71.27	VLOW	S1	Yan et al. 2013	EightCell	cell3	SRR490975	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell1_cell4	49.28	LOW	S1	Yan et al. 2013	EightCell	cell4	SRR490976	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell1	49.62	VLOW	S1	Yan et al. 2013	EightCell	cell1	SRR490977	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell2	100	VLOW	S1	Yan et al. 2013	EightCell	cell2	SRR490978	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell3	32.78	VLOW	S1	Yan et al. 2013	EightCell	cell3	SRR490979	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell4	100	OK	S1	Yan et al. 2013	EightCell	cell4	SRR490980	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell5	100	OK	S1	Yan et al. 2013	EightCell	cell5	SRR490981	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell6	100	OK	S1	Yan et al. 2013	EightCell	cell6	SRR490982	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell7	100	VLOW	S1	Yan et al. 2013	EightCell	cell7	SRR490983	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell2_cell8	100	VLOW	S1	Yan et al. 2013	EightCell	cell8	SRR490984	8-cell	Human
SUZ12	HsaEX0063029	chr17:31947617-31947685	69	chr17:31940486,31947617-31947685,31966147	C1	EightCell3_cell1	92.93	SOK	S1	Yan et al. 2013	EightCell	cell1	SRR490985	8-cell	Human
